Seq_ID,DESI_ID,sobs,chao,chao_lci,chao_hci,ace,ace_lci,ace_hci,invsimpson,invsimpson_lci,invsimpson_hci,npshannon,coverage,shannon,shannon_lci,shannon_hci,nseqs
G036,250,8,8,8,8,8,8,8,1.104515,1.078772,1.131516,0.275673,1,0.272572,0.218981,0.326162,22051
G037,249,4,4,4,4,4,4,4,1.024385,1.01254,1.03651,0.077236,1,0.074994,0.044033,0.105956,36042
G038,579,8,9.5,8.149231,23.077277,11.265099,8.462802,31.03548,1.040096,1.024745,1.055913,0.139444,0.997749,0.126048,0.084985,0.167111,31564
G039,34,4,7,4.373525,28.094805,0,0,0,1.004518,0.999451,1.009636,0.030082,0.997749,0.018441,5.50E-05,0.036828,26165
G040,423,4,7,4.373525,28.094805,0,0,0,1.004518,0.999451,1.009636,0.030082,0.997749,0.018441,5.50E-05,0.036828,27095
G041,16,12,19.5,13.32254,54.5318,20.971154,13.704492,59.217344,1.092294,1.068375,1.117307,0.268563,0.995499,0.243286,0.191261,0.295312,18454
G042,189,2,2,2,0,0,0,0,1.001503,0.998582,1.00444,0.010034,0.99925,0.006148,-0.004478,0.016773,28304
G043,198,2,2,2,2,2,2,2,1.004515,0.999456,1.009625,0.016685,1,0.015969,0.000431,0.031507,34979
G044,408,8,8.6,8.050626,15.11091,10.625,9.248838,13.517629,1.016712,1.006914,1.026703,0.081089,0.997749,0.063433,0.030827,0.096039,38640
G045,534,4,7,4.373525,28.094805,0,0,0,1.004518,0.999451,1.009636,0.030082,0.997749,0.018441,5.50E-05,0.036828,29932
G046,364,6,9,6.39133,28.998494,16,7.126442,94.775079,1.009066,1.001877,1.016359,0.052842,0.996999,0.035837,0.010692,0.060982,31641
G047,410,5,5.5,5.030262,13.261169,6.786667,5.193148,21.527141,1.010585,1.002815,1.018477,0.049481,0.9985,0.039509,0.014061,0.064958,24899
G048,33,4,4,4,4,4,4,4,1.010584,1.002815,1.018474,0.042234,1,0.038469,0.013858,0.063081,22065
G049,201,9,14,9.777869,41.13908,24,10.342299,176.622885,1.672317,1.594608,1.757989,0.774089,0.996249,0.755907,0.70728,0.804535,21435
G050,79,9,15,9.954877,46.701174,15.840816,10.015773,55.070126,1.673402,1.60935,1.742763,0.688053,0.996999,0.673445,0.630153,0.716737,29811
G051,317,18,23.6,19.15542,45.141645,26.265951,20.152924,49.736347,1.06115,1.041881,1.081145,0.245921,0.993998,0.208406,0.152652,0.26416,41772
G052,416,4,5,4.075339,17.273425,12.892857,6.114914,41.392969,1.013622,1.004811,1.022589,0.052832,0.9985,0.04509,0.019824,0.070356,42567
G053,557,6,12,6.967351,43.21504,0,0,0,1.732412,1.674727,1.794213,0.646217,0.996999,0.632534,0.603945,0.661123,34048
G054,564,5,5.5,5.030262,13.261169,8,5.569395,20.806245,1.03835,1.023446,1.053695,0.113674,0.9985,0.104518,0.07042,0.138616,27203
G055,182,18,19.5,18.149231,33.077277,19.789495,18.276369,29.587011,2.213264,2.09664,2.343627,1.207546,0.997749,1.195273,1.1261,1.264447,24161
G056,184,25,34,27.002307,65.453337,41.057105,31.504834,64.636768,2.483462,2.394085,2.579771,1.239603,0.993248,1.206199,1.139971,1.272427,24191
G057,433,11,21.5,13.03458,65.188088,28.792727,14.323353,106.259568,1.770612,1.710903,1.83464,0.706387,0.994749,0.680402,0.642903,0.7179,25388
G058,453,44,63.090909,50.65567,98.759748,73.343026,56.127616,114.996079,2.14103,2.052351,2.237718,1.213261,0.984246,1.130067,1.052025,1.208109,10541
G059,31,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,29257
G060,52,39,46.857143,40.961855,70.467512,48.427273,41.984226,68.781085,2.844212,2.66385,3.05077,1.710939,0.991748,1.669649,1.583752,1.755547,41653
G061,261,25,38.2,28.443297,75.60266,63.130821,43.884785,101.991056,1.185145,1.148914,1.223736,0.540646,0.990998,0.49172,0.416789,0.566652,35066
G062,191,4,4.5,4.030262,12.261169,7,4.652242,17.798569,1.00603,1.000175,1.011953,0.032825,0.9985,0.023547,0.00334,0.043754,30319
G063,221,20,27,21.451873,53.749509,29.286685,22.440597,55.336655,1.221601,1.181781,1.264199,0.528273,0.993998,0.493144,0.424511,0.561777,23912
G064,28,3,3,3,3,3,3,3,1.006029,1.000176,1.01195,0.025556,1,0.022507,0.003367,0.041647,23965
G065,414,6,9,6.39133,28.998494,16,7.126442,94.775079,1.009066,1.001877,1.016359,0.052842,0.996999,0.035837,0.010692,0.060982,25575
G066,316,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,31326
G067,11,11,11.166667,11.007732,14.592504,12.434286,11.197112,21.436568,1.420763,1.366966,1.478968,0.568985,0.9985,0.553648,0.503038,0.604259,37224
G068,137,11,11.2,11.009808,15.078437,12.673752,11.245479,22.41214,1.056192,1.03781,1.075237,0.193035,0.9985,0.178535,0.129294,0.227775,39317
G069,556,8,8.5,8.030262,16.261169,11.394923,8.652406,25.66614,1.26793,1.22499,1.31399,0.457507,0.9985,0.448721,0.39617,0.501272,37035
G070,428,3,3,3,0,0,0,0,1.032053,1.018492,1.04598,0.087863,0.99925,0.084035,0.05476,0.113309,29933
G071,542,6,16,7.938854,57.576857,0,0,0,1.007547,1.000991,1.01419,0.050101,0.996249,0.030733,0.007018,0.054447,25860
G072,176,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,29936
G073,487,9,16.5,10.32254,51.5318,30,10.642281,277.528973,1.562426,1.504278,1.625249,0.603966,0.995499,0.58166,0.54316,0.620161,33637
G074,76,2,2,2,0,0,0,0,1.001503,0.998582,1.00444,0.010034,0.99925,0.006148,-0.004478,0.016773,35855
G075,225,2,2,2,0,0,0,0,1.001503,0.998582,1.00444,0.010034,0.99925,0.006148,-0.004478,0.016773,42889
G076,362,3,4,3.077375,15.924098,0,0,0,1.003009,0.998876,1.007176,0.020061,0.9985,0.012295,-0.002725,0.027314,47710
G077,459,4,4,4,0,5.832031,4.222481,19.08596,1.032168,1.018509,1.046198,0.097963,0.99925,0.094132,0.060687,0.127578,43032
G078,315,14,28,16.920488,81.112081,23.31001,16.112407,55.032,1.033841,1.019754,1.048323,0.159094,0.993998,0.124187,0.079322,0.169053,42382
G079,128,10,11,10.093649,20.678164,12.5,10.385517,26.211982,1.085517,1.062602,1.109441,0.241096,0.997749,0.225942,0.175923,0.27596,29612
G080,209,4,4.5,4.030262,12.261169,7,4.652242,17.798569,1.00603,1.000175,1.011953,0.032825,0.9985,0.023547,0.00334,0.043754,25152
G081,360,10,11.5,10.180377,22.473897,13.803077,10.643059,32.491563,2.007185,1.971816,2.043846,0.773697,0.996999,0.755463,0.722594,0.788332,26794
G082,271,3,3,3,0,0,0,0,1.018193,1.00801,1.028584,0.057798,0.99925,0.053947,0.028388,0.079506,30018
G083,374,11,12.5,11.180377,23.473897,14.024103,11.52873,28.296545,1.03383,1.019752,1.048303,0.140335,0.996999,0.119328,0.07647,0.162186,30975
G084,266,3,3,3,3,3,3,3,1.612784,1.554746,1.675324,0.579806,1,0.579089,0.550069,0.60811,36011
G085,32,2,2,2,0,0,0,0,1.001503,0.998582,1.00444,0.010034,0.99925,0.006148,-0.004478,0.016773,38319
G086,565,23,32.166667,25.29218,59.658448,33.443604,25.928912,60.238698,2.195867,2.146598,2.24745,0.997119,0.991748,0.951778,0.897309,1.006247,27062
G087,136,20,56,30.261607,146.296011,48.585272,32.722133,84.228052,1.216041,1.176258,1.258609,0.559458,0.993248,0.526009,0.452737,0.599281,25621
G088,324,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,21779
G089,280,3,4,3.077375,15.924098,0,0,0,1.003009,0.998876,1.007176,0.020061,0.9985,0.012295,-0.002725,0.027314,23951
G090,203,6,12,6.967351,43.21504,0,0,0,1.92846,1.887233,1.971528,0.707021,0.996999,0.69352,0.671232,0.715809,19236
G091,222,8,8,8,0,8.416667,8.04986,11.481947,1.308245,1.261915,1.358107,0.487671,0.99925,0.480441,0.428704,0.532177,1325
G092,56,7,8.5,7.149231,22.077277,13,7.804861,51.728216,1.159091,1.127014,1.193048,0.330083,0.997749,0.317587,0.269091,0.366083,39019
G093,499,9,9,9,0,9.449074,9.037201,14.421069,1.038558,1.023492,1.054074,0.139174,0.99925,0.129201,0.086093,0.172309,1763
G094,563,10,31,15.14168,95.769634,75.045267,28.437432,239.472674,1.996891,1.964193,2.030697,0.762364,0.994749,0.738218,0.708506,0.76793,47901
G095,156,24,33.333333,25.937063,68.970717,33.324619,26.29609,61.868077,2.704282,2.596641,2.821234,1.373793,0.993998,1.346394,1.277356,1.415431,26966
G096,21,4,4,4,4,4,4,4,1.861103,1.809608,1.915615,0.680437,1,0.679004,0.654054,0.703954,36031
G097,314,4,4,4,0,4.6,4.102431,7.514563,1.009062,1.001879,1.01635,0.039475,0.99925,0.033365,0.010216,0.056514,33204
G098,281,52,109.75,70.630145,231.014306,138.21301,104.704427,193.025781,8.136094,7.535715,8.840419,2.65784,0.983496,2.607339,2.537901,2.676777,26485
G099,241,6,9,6.365788,30.604402,0,0,0,2.27709,2.175206,2.388987,0.970166,0.997749,0.960647,0.927563,0.99373,33710
G100,325,2,2,2,0,0,0,0,1.001503,0.998582,1.00444,0.010034,0.99925,0.006148,-0.004478,0.016773,29732
G101,90,23,24.666667,23.232004,34.972994,26.59647,23.787808,39.418464,2.195346,2.069157,2.337926,1.251979,0.996249,1.226348,1.154947,1.297749,29477
G102,163,9,10,9.071671,22.952567,17.892857,11.101095,46.638905,2.85767,2.728961,2.999121,1.252935,0.9985,1.246995,1.201734,1.292256,20510
G103,349,9,15,9.954877,46.701174,28.25832,15.58198,65.348223,1.749802,1.678037,1.82798,0.764102,0.996999,0.750024,0.703563,0.796486,26886
G104,53,13,18,13.864775,41.909245,19.698061,14.458396,43.762569,1.038575,1.023496,1.054105,0.164038,0.995499,0.135959,0.090135,0.181783,29427
G105,460,5,5,5,0,6.741581,5.255245,16.883102,1.022845,1.011383,1.034569,0.079692,0.99925,0.072802,0.041425,0.104178,39181
G106,363,5,8,5.369122,29.382198,24.15102,10.466045,72.09817,1.012105,1.003795,1.020553,0.054855,0.997749,0.043128,0.017203,0.069054,40624
G107,240,6,9,6.365788,30.604402,0,0,0,2.762892,2.67834,2.852957,1.079845,0.997749,1.070572,1.048073,1.093072,35665
G108,193,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,29412
G109,61,5,5,5,0,6,5.174723,10.723337,1.107179,1.081345,1.134277,0.246042,0.99925,0.240805,0.195796,0.285815,29740
G110,580,3,3,3,0,4.111111,3.080128,18.40741,1.006027,1.000177,1.011947,0.026707,0.99925,0.022115,0.003306,0.040924,31089
G111,260,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,29801
G112,153,4,4,4,0,4.694444,4.054125,12.909985,1.010582,1.002817,1.018468,0.043534,0.99925,0.037822,0.01362,0.062024,27910
G113,432,6,12,6.967351,43.21504,42.4,18.402162,112.832987,1.013635,1.004807,1.022619,0.064848,0.996999,0.049272,0.02128,0.077263,38893
G114,483,6,12,6.967351,43.21504,59.957396,35.695108,104.043106,1.021296,1.010241,1.032595,0.084119,0.996999,0.068742,0.037801,0.099683,43686
G115,178,3,3,3,0,4,3.24225,7.127961,1.004517,0.999453,1.009633,0.022805,0.99925,0.017401,0.000196,0.034607,43653
G116,10,11,11,11,11,11,11,11,1.254984,1.211175,1.302081,0.541531,1,0.536726,0.469953,0.6035,24473
G117,152,7,17,8.932408,58.748901,0,0,0,1.035252,1.020961,1.049948,0.121323,0.996249,0.102223,0.066754,0.137692,31581
G118,312,2,2,2,0,0,0,0,1.001503,0.998582,1.00444,0.010034,0.99925,0.006148,-0.004478,0.016773,28012
G119,20,5,8,5.369122,29.382198,0,0,0,1.524907,1.468885,1.585372,0.552146,0.997749,0.541684,0.508643,0.574725,37089
G120,509,6,9,6.365788,30.604402,0,0,0,1.22199,1.183524,1.26304,0.391176,0.997749,0.38035,0.333175,0.427525,32308
G121,503,2,2,2,2,2,2,2,1.003008,0.998878,1.007172,0.012779,1,0.011255,-0.002292,0.024802,39088
G122,213,27,29.142857,27.343036,40.385874,29.6267,27.55134,39.51416,1.575398,1.503723,1.654249,0.894027,0.995499,0.860167,0.783577,0.936757,36698
G124,287,12,14.5,12.368021,28.982713,32.890845,20.724598,62.022638,1.577366,1.515656,1.644315,0.663412,0.996249,0.64101,0.59291,0.689111,28810
G125,504,3,3,3,0,4,3.24225,7.127961,1.004517,0.999453,1.009633,0.022805,0.99925,0.017401,0.000196,0.034607,39207
G126,508,5,5.5,5.030262,13.261169,8,5.569395,20.806245,1.068457,1.048371,1.089329,0.167299,0.9985,0.158224,0.120738,0.195709,34385
G127,502,2,2,2,0,0,0,0,1.001503,0.998582,1.00444,0.010034,0.99925,0.006148,-0.004478,0.016773,38133
G128,157,44,114.2,68.710527,243.430795,234.155486,164.639909,343.727587,1.392414,1.332962,1.457416,0.961314,0.979745,0.863903,0.772014,0.955792,30974
G129,514,3,4,3.077375,15.924098,0,0,0,1.003009,0.998876,1.007176,0.020061,0.9985,0.012295,-0.002725,0.027314,40526
G130,488,10,10.75,10.066559,18.451092,12.966667,10.484818,28.153442,1.48708,1.429708,1.549249,0.600877,0.997749,0.585805,0.537888,0.633722,37417
G131,247,17,27.5,19.03458,71.188088,27.008488,19.132821,63.96588,3.447815,3.331593,3.57244,1.441772,0.994749,1.418608,1.36998,1.467237,40083
G132,192,2,2,2,0,0,0,0,1.001503,0.998582,1.00444,0.010034,0.99925,0.006148,-0.004478,0.016773,31305
G133,507,48,69,55.295428,108.448818,119.982441,89.473877,172.933386,4.266071,4.004935,4.563637,2.067283,0.984246,2.000124,1.920838,2.079411,24558
G134,528,8,8.5,8.030262,16.261169,9.706667,8.217402,21.397823,1.056055,1.037762,1.075005,0.173316,0.9985,0.162785,0.118273,0.207297,28300
G135,26,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,56482
G136,437,22,28,23.32833,49.101695,53.398582,36.808768,88.573466,1.209934,1.170904,1.251655,0.55454,0.993248,0.514435,0.441262,0.587608,31522
G137,236,4,4,4,0,0,0,0,1.400367,1.346569,1.458642,0.534745,0.99925,0.531253,0.48674,0.575765,32900
G138,435,5,5,5,0,5.6,5.096658,8.724465,1.027491,1.014893,1.040406,0.09076,0.99925,0.084689,0.051589,0.117789,33378
G139,286,10,11,10.093649,20.678164,16.697002,11.780234,35.193232,1.599565,1.532938,1.672248,0.711601,0.997749,0.698418,0.646125,0.75071,32372
G140,455,42,73.625,53.213632,131.189712,130.458066,95.851504,187.303824,2.165038,2.065444,2.274723,1.260554,0.982746,1.178672,1.099969,1.257375,24212
G141,489,14,29,17.502488,78.24005,44,18.256776,225.427637,1.747612,1.686593,1.813211,0.720404,0.992498,0.683409,0.6423,0.724519,23253
G142,427,4,4,4,4,0,0,0,1.171879,1.137776,1.20809,0.356577,1,0.356577,0.305294,0.40786,34801
G143,426,6,7,6.073182,19.664578,0,0,0,1.159111,1.126492,1.193674,0.351374,0.9985,0.344105,0.291635,0.396575,31142
G144,55,4,5,4.075339,17.273425,0,0,0,1.33404,1.287952,1.383548,0.432764,0.9985,0.425617,0.389219,0.462016,39307
G145,562,9,11,9.249903,25.006186,14.136364,9.855742,39.82967,1.851474,1.795713,1.910809,0.720539,0.996999,0.70368,0.669412,0.737949,43741
G146,120,4,4,4,0,4.54519,4.037912,11.840008,1.012106,1.003795,1.020556,0.047434,0.99925,0.042533,0.017177,0.067889,30469
G147,246,20,20.75,20.066559,28.451092,21.96299,20.325595,31.834723,2.855014,2.71068,3.015583,1.426572,0.997749,1.411496,1.346069,1.476922,39803
G148,158,21,22.2,21.138909,31.366469,24.648369,21.730966,39.209596,1.563848,1.48666,1.649491,1.005905,0.996999,0.986623,0.902969,1.070276,26368
G149,385,3,4,3.077375,15.924098,0,0,0,1.003009,0.998876,1.007176,0.020061,0.9985,0.012295,-0.002725,0.027314,38808
G150,485,6,6,6,6,6,6,6,1.660686,1.600396,1.725697,0.631567,1,0.627086,0.591277,0.662895,42072
G151,159,21,48.5,27.663101,134.498205,90.757812,58.091996,152.191441,1.642184,1.564456,1.72804,0.912601,0.991748,0.873699,0.803964,0.943434,31188
G152,62,4,4,4,0,0,0,0,1.065567,1.045782,1.086114,0.166472,0.99925,0.162703,0.123363,0.202043,38680
G153,328,21,39.333333,25.476624,96.081388,62.087116,41.254981,104.344986,2.369626,2.250844,2.501643,1.170285,0.991748,1.132628,1.075461,1.189795,29478
G154,27,2,2,2,0,0,0,0,1.001503,0.998582,1.00444,0.010034,0.99925,0.006148,-0.004478,0.016773,37567
G155,208,2,2,2,0,0,0,0,1.001503,0.998582,1.00444,0.010034,0.99925,0.006148,-0.004478,0.016773,29230
G156,80,12,12.6,12.050626,19.11091,14.181818,12.765819,18.216003,2.134867,2.079638,2.19311,0.911349,0.997749,0.894844,0.849187,0.940501,25891
G157,1,4,5,4.075339,17.273425,0,0,0,1.99364,1.974389,2.013271,0.707659,0.9985,0.700926,0.686578,0.715273,27217
G158,151,5,11,5.973157,41.993022,0,0,0,1.006031,1.000174,1.011957,0.040095,0.996999,0.024587,0.003367,0.045808,35191
G159,183,20,24.666667,20.954004,42.82777,37.131644,26.630003,64.267434,1.696344,1.613127,1.788612,0.93399,0.993998,0.899678,0.832181,0.967176,17150
G161,578,11,14,11.356675,36.233049,12.484784,11.204628,21.773644,1.044941,1.028604,1.061806,0.166731,0.997749,0.151587,0.10465,0.198524,39283
G162,576,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,36935
G165,350,8,8,8,0,8.458008,8.036641,13.725111,1.527163,1.468583,1.590611,0.600373,0.99925,0.592379,0.548164,0.636594,22109
G166,267,9,10.5,9.180377,21.473897,13.666667,11.219245,18.813145,1.863803,1.810114,1.920775,0.718969,0.996999,0.700897,0.668256,0.733539,46654
G167,162,11,17,11.949145,48.928859,47.4,23.384717,117.98347,3.063469,2.934383,3.204435,1.353946,0.996999,1.34225,1.294126,1.390374,34395
G168,142,11,13.5,11.368021,27.982713,32.590339,19.600806,65.197565,2.059012,2.032747,2.085965,0.805363,0.996249,0.784212,0.749263,0.819161,38911
G169,262,2,2,2,2,2,2,2,1.003008,0.998878,1.007172,0.012779,1,0.011255,-0.002292,0.024802,42534
G170,359,13,27,15.920488,80.112081,30.753086,16.841974,95.033882,1.742108,1.679965,1.809024,0.719788,0.993998,0.690128,0.647719,0.732536,29532
G171,245,6,6,6,0,6.379009,6.026673,11.385476,1.022876,1.011383,1.034634,0.084987,0.99925,0.078446,0.044491,0.112401,31460
G172,561,12,13,12.093649,22.678164,14.5584,12.413065,27.845953,1.314117,1.265886,1.366169,0.555564,0.997749,0.540925,0.480496,0.601354,31612
G173,543,4,5,4.075339,17.273425,10.78,5.269544,40.208582,1.00906,1.00188,1.016344,0.040778,0.9985,0.032717,0.010005,0.05543,26463
G174,54,20,46,26.815969,119.178856,155.747081,103.231157,241.398702,1.075942,1.054299,1.098492,0.293361,0.990248,0.240741,0.182805,0.298678,36613
G175,572,4,7,4.373525,28.094805,0,0,0,1.004518,0.999451,1.009636,0.030082,0.997749,0.018441,5.50E-05,0.036828,38683
G176,386,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,40014
G177,207,2,2,2,0,0,0,0,1.001503,0.998582,1.00444,0.010034,0.99925,0.006148,-0.004478,0.016773,39397
G178,269,5,8,5.369122,29.382198,30.630854,14.182562,76.542196,1.018215,1.008008,1.028632,0.070453,0.997749,0.0589,0.030327,0.087472,33910
G179,92,24,26.142857,24.343036,37.385874,30.049486,25.546994,47.656382,1.954541,1.845671,2.077061,1.186914,0.995499,1.157265,1.081002,1.233527,27365
G180,498,5,6.5,5.149231,20.077277,11,5.891606,45.376578,1.007546,1.000992,1.014186,0.042837,0.997749,0.029693,0.00688,0.052505,35271
G181,144,23,49,29.815969,122.178856,79.513597,50.515194,139.073564,1.25676,1.212823,1.304001,0.606613,0.990248,0.556314,0.484714,0.627915,23507
G182,282,14,29,17.283004,82.534794,20.1536,15.287194,43.418095,1.810772,1.744784,1.881947,0.78264,0.995499,0.760215,0.711729,0.808701,40714
G183,223,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,32189
G184,378,10,11.5,10.180377,22.473897,14.666667,12.041602,20.667006,1.10735,1.081431,1.134541,0.278664,0.996999,0.259267,0.208692,0.309842,30698
G185,160,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,31769
G186,119,2,2,2,0,0,0,0,1.001503,0.998582,1.00444,0.010034,0.99925,0.006148,-0.004478,0.016773,35246
G187,268,5,5,5,0,5.75,5.145597,8.863402,1.620571,1.561935,1.683781,0.59865,0.99925,0.592151,0.559931,0.624371,30503
G188,486,6,7,6.073182,19.664578,7.877551,6.196924,23.901317,1.467712,1.413019,1.52681,0.541208,0.9985,0.533179,0.493628,0.57273,28180
G189,575,28,33.625,29.315172,52.05817,45.738166,35.643788,69.163171,1.229567,1.188346,1.27375,0.6148,0.992498,0.567208,0.488758,0.645658,28185
G190,63,28,33.625,29.315172,52.05817,45.738166,35.643788,69.163171,1.229567,1.188346,1.27375,0.6148,0.992498,0.567208,0.488758,0.645658,54139
G191,461,8,10,8.249903,24.006186,23.605452,13.324227,53.739998,1.022873,1.011383,1.034627,0.098286,0.996999,0.079857,0.04493,0.114784,36450
G192,284,2,2,2,2,2,2,2,1.013605,1.004816,1.022549,0.040478,1,0.040474,0.018507,0.06244,29978
G193,229,45,81.142857,57.654451,148.228984,110.604119,83.826946,155.848289,1.298635,1.249239,1.352098,0.848487,0.982746,0.759471,0.666641,0.852301,22036
G194,227,50,68.071429,56.587386,99.576041,82.21263,63.655215,125.989543,1.736777,1.645978,1.838179,1.231279,0.982746,1.138576,1.046143,1.231009,27322
G195,353,3,3,3,0,4.801749,3.214827,18.111244,1.012092,1.0038,1.020523,0.042833,0.99925,0.038947,0.015994,0.0619,26621
G196,228,16,49,24.281529,147.497459,79.555556,41.143315,176.651396,1.032269,1.018525,1.046389,0.169707,0.990998,0.121309,0.076217,0.166402,31113
G197,368,10,11.2,10.138909,20.366469,13.87574,10.701448,31.41477,1.025996,1.013714,1.03858,0.115802,0.996999,0.094236,0.055496,0.132976,22497
G198,334,6,9,6.365788,30.604402,22.125,10.022031,70.647843,1.035284,1.020967,1.050009,0.115587,0.997749,0.103813,0.068045,0.139582,52541
G199,234,13,18,13.864775,41.909245,25,15.498551,70.633395,2.887693,2.775284,3.009594,1.266712,0.995499,1.245862,1.200177,1.291547,37617
G200,14,7,17,8.932408,58.748901,0,0,0,1.608911,1.550428,1.67198,0.606578,0.996249,0.589304,0.55559,0.623018,27473
