Seq_ID,CST_11,CST,SilhouetteValues,LactobacillusPercentage,LDominant_CST,LDominant_RelAbundance
G307,IV - Mix Anaerobes/Other Lactobacilli,IV,0.05184664473539815,0.0962463907603465,LDepleted,LDepleted
G436,IV - Gardnerella + L. gasseri,IV,-0.09704496451353543,90.5889246996777,LDepleted,LDominant
G555,IV - Gardnerella + L. gasseri,IV,0.5622760440700667,58.1086781454922,LDepleted,LDepleted
G525,IV - Gardnerella + L. gasseri,IV,0.361959046984804,65.75110380942601,LDepleted,LDepleted
G435,II - L.gasseri + Atopobium,II,0.1057913993251387,73.11582705275684,LDominant,LDepleted
G421,II - L.gasseri + Atopobium,II,0.3168679030345582,56.78001158269215,LDominant,LDepleted
G416,II - L.gasseri + Atopobium,II,0.3329759758619149,54.45989752169821,LDominant,LDepleted
G044,I,I,0.8595109976773073,99.19254658385093,LDominant,LDominant
G047,I,I,0.8729848684972388,99.76705891802884,LDominant,LDominant
G492,II,II,0.5715546988325237,97.98152400277674,LDominant,LDominant
G533,II,II,0.5627581353633642,98.17597161390475,LDominant,LDominant
G498,II,II,0.39588486350278246,93.87351778656127,LDominant,LDominant
G065,II,II,0.6273813414650997,99.980449657869,LDominant,LDominant
G249,I,I,0.8194316438156956,99.94727545936256,LDominant,LDominant
G052,I,I,0.8624848090192353,99.96476143491438,LDominant,LDominant
G446,II,II,0.6031569515751738,98.81748491273854,LDominant,LDominant
G506,VI - Bifidobacterium,VI,-0.34554071687700105,72.25344915687276,LDepleted,LDepleted
G526,II,II,0.606659572929612,98.88189178768796,LDominant,LDominant
G450,III,III,0.7301152674124126,99.92577835071683,LDominant,LDominant
G451,III,III,0.7383449101498785,99.96812966672736,LDominant,LDominant
G464,III,III,0.6579339476506099,98.1378763866878,LDominant,LDominant
G040,I,I,0.8846713363630538,99.97047425724304,LDominant,LDominant
G002,I,I,0.8768195775960845,99.74434975917006,LDominant,LDominant
G016,I,I,0.8855806975583899,99.99268337296506,LDominant,LDominant
G143,III,III,0.677672534813076,99.95504463425598,LDominant,LDominant
G142,III,III,0.68860164417943,99.98563259676446,LDominant,LDominant
G070,III,III,0.6911049039378864,99.98663682223633,LDominant,LDominant
G481,IV - Gardnerella,IV,0.43110857166327576,0.0050916496945010185,LDepleted,LDepleted
