"","Metabolite","I - II _pval","I - III _pval","I - IV _pval","I - V _pval","I - VI _pval","I - VII _pval","II - III _pval","II - IV _pval","II - V _pval","II - VI _pval","II - VII _pval","III - IV _pval","III - V _pval","III - VI _pval","III - VII _pval","IV - V _pval","IV - VI _pval","IV - VII _pval","V - VI _pval","V - VII _pval","VI - VII _pval","LDepleted _pval","36 - 8 _pval"
"8",81.06546955,0.903452883216208,0.924535240819492,0.929148882514139,0.962391939222392,0.710423568830286,0.83244001448721,0.891953351125185,0.884313182083095,0.998440032272259,0.667249078009381,0.999935661985809,0.791099052290043,0.999138215839279,0.859299949445698,0.835622638773757,0.832825937254622,0.829891990081814,0.710632800813631,0.672737204143123,0.973860464586253,0.689504242047553,0.88647376694265,0.42575001095965
"9",84.04415427,0.553911996856601,0.992251847767727,0.14817966525483,0.962391939222392,0.71650634560037,0.980955896496967,0.891953351125185,0.845840002624331,0.945977092218263,0.938620963060233,0.999935661985809,0.265962123810377,0.999138215839279,0.726696437749123,0.994917207245019,0.717284835996467,0.997359742083862,0.790313364241582,0.816069222621465,0.985215810616442,0.884084887325254,0.491233788503038,0.874079437931428
"10",84.08054472,0.87021805922707,0.992251847767727,0.116916181890497,0.984651478627442,0.499876402047597,0.97995805461745,0.908774507999788,0.779101867691151,0.99725978335693,0.647183482824078,0.999935661985809,0.232988445086348,0.999138215839279,0.497600497768702,0.994917207245019,0.502702465557458,0.861359924158556,0.76917864043464,0.595989839332176,0.985215810616442,0.755935552472696,0.159535922651975,0.98537182178777
"11",85.02823295,0.973821553813407,0.861294304536222,0.00883991044839963,0.910533547798914,0.956013870047974,0.95791944165432,0.891953351125185,0.434096455044377,0.945977092218263,0.955295311518847,0.999935661985809,0.000692125182866443,0.999138215839279,0.929357916766454,0.987649609496751,0.00575956122432104,0.667984514144504,0.632188381694822,0.818605750102365,0.985215810616442,0.997573148844219,0.000324088979691429,0.048382223712454
"12",86.09623727,0.0443449070889314,0.610944579823377,0.00496827998237865,0.962391939222392,0.708235795853616,0.826648150351395,0.891953351125185,0.616291744910403,0.945977092218263,0.677046507966808,0.999935661985809,0.66089394706115,0.999138215839279,0.986206962471681,0.987649609496751,0.416779712826981,0.962628184307287,0.959201000222304,0.816069222621465,0.973860464586253,0.996529365331838,0.475429697358383,0.991861565848756
"13",87.04377292,0.869575544563351,0.904437522727517,0.871390503630765,0.426915103627811,0.751220415560604,0.940695475364812,0.980551276569282,0.956507200713714,0.945977092218263,0.913520933732514,0.999935661985809,0.819566507150702,0.238191903775119,0.914221182730972,0.994917207245019,0.11038508393258,0.884558761241856,0.963337159118857,0.382762170305336,0.964790640707484,0.981312134568141,0.665596204695835,0.924939028844217
"14",88.10949126,0.982696346583248,0.990580474074353,7.04359297141714e-07,0.989936966951081,0.97335212527735,0.933012530510288,0.977112847192366,0.089110615852702,0.998440032272259,0.984592900639483,0.999935661985809,6.64088842258353e-06,0.999138215839279,0.953407931598227,0.967095446341142,0.00225585704689774,0.613759721208522,0.51317224070026,0.951076511855928,0.985215810616442,0.993924484709201,7.81028111496603e-08,0.348231379918455
"15",89.04248234,0.976382696875101,0.998002339405762,0.394457941849037,0.9859885547022,0.703652736695053,0.959396795304306,0.981449538450308,0.734347658151091,0.998440032272259,0.677564862768402,0.999935661985809,0.530436618808243,0.999138215839279,0.719066715178103,0.987649609496751,0.575480236282678,0.916009507855066,0.80750403759231,0.691605364305199,0.987278949401002,0.809227573558795,0.299086219408415,0.825895367272981
"16",89.05948417,0.951143052638398,0.926869527493697,0.880782774755945,0.962391939222392,0.973046092703379,0.933012530510288,0.907312989266541,0.987990342487326,0.97973874925678,0.998423723180491,0.999935661985809,0.597911939262875,0.999138215839279,0.910170586360585,0.987649609496751,0.642496724222577,0.997359742083862,0.866071468865198,0.826756546075567,0.995937629948267,0.957855821762363,0.658501297545115,0.987049942667958
"17",89.10722861,0.961526525232321,0.903326887098566,0.00113539510384172,0.514939441593405,0.926048114852494,0.99840539841126,0.900972662899921,0.378116663667878,0.945977092218263,0.97942009070646,0.999935661985809,0.000285831145224067,0.296037981298738,0.842685913853864,0.984489698546599,0.816369950265461,0.730534868106992,0.63587414426625,0.760145498801418,0.973860464586253,0.993924484709201,0.0111762556514197,0.924939028844217
"18",89.11511919,0.743800952834514,0.903326887098566,0.637990042052212,0.962391939222392,0.740875559608308,0.933012530510288,0.954267937040608,0.508238484907077,0.993329455759914,0.558542990844935,0.999935661985809,0.301452096473453,0.999138215839279,0.662324182606971,0.994917207245019,0.576333313412454,0.937612110572529,0.804600430501003,0.701651945522668,0.985215810616442,0.818238633141287,0.188971397194656,0.552973537989259
"19",91.05402713,0.887198496384592,0.962555396688878,0.968092298295113,0.962391939222392,0.897602314020414,0.827781050717994,0.900972662899921,0.883811405931082,0.945977092218263,0.99105602945194,0.999935661985809,0.906836605029916,0.999138215839279,0.859299949445698,0.925862858482809,0.737752327632248,0.930959839602034,0.748692866282515,0.760145498801418,0.973860464586253,0.770715290520127,0.966862632216661,0.990039184976635
"20",92.05551898,0.858223419237156,0.994940563171386,0.753644496810235,0.991802173313934,0.933541719355308,0.540912830874436,0.921101899700726,0.734347658151091,0.993329455759914,0.989630905725559,0.591652813919429,0.768520854645045,0.999138215839279,0.943219232277347,0.565295645495516,0.853356168397742,0.894513691677832,0.48164398707925,0.910508639731174,0.711987163292566,0.591754730185327,0.574279278823742,0.803005103272109
"21",93.00370912,0.948885232569113,0.99260698906184,0.592458614431018,0.981696599537974,0.891300493132485,0.940695475364812,0.962503637395888,0.762286293587104,0.99725978335693,0.957007098960887,0.999935661985809,0.600969844627315,0.999138215839279,0.915890288910874,0.987649609496751,0.849584690108748,0.833425114875274,0.817821016986117,0.816069222621465,0.985215810616442,0.998502984896058,0.494023235201274,0.928511111929494
